Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah
2023-09-01,6.55,6.475,6.575,6.475
2023-09-04,6.6,6.575,6.6,6.525
2023-09-05,6.6,6.6,6.65,6.55
2023-09-06,6.525,6.575,6.625,6.525
2023-09-07,6.4,6.475,6.5,6.35
2023-09-08,6.4,6.45,6.45,6.35
2023-09-11,6.375,6.4,6.425,6.3
2023-09-12,6.3,6.375,6.375,6.3
2023-09-13,6.3,6.325,6.325,6.225
2023-09-14,6.325,6.325,6.375,6.25
2023-09-15,6.3,6.25,6.325,6.2
2023-09-18,6.3,6.275,6.325,6.25
2023-09-19,6.35,6.3,6.375,6.275
2023-09-20,6.3,6.35,6.4,6.3
2023-09-21,6.2,6.3,6.325,6.2
2023-09-22,6.2,6.2,6.275,6.175
2023-09-25,6.25,6.225,6.275,6.2
2023-09-26,6.2,6.225,6.3,6.2
2023-09-27,6.15,6.2,6.25,6.125
2023-09-29,6.225,6.25,6.275,6.2
2023-10-02,6.275,6.275,6.35,6.25
2023-10-03,6.2,6.275,6.3,6.2
2023-10-04,6.075,6.175,6.2,6.05
2023-10-05,6.025,6.125,6.175,6.025
2023-10-06,6.075,6.05,6.15,6.05
2023-10-09,6.125,6.15,6.225,6.1
2023-10-10,6.05,6.175,6.175,6.05
2023-10-11,6.05,6.075,6.125,6.05
2023-10-12,5.95,6.0,6.025,5.95
2023-10-13,5.975,6.0,6.025,5.95
2023-10-16,5.85,5.925,5.975,5.825
2023-10-17,5.85,5.875,5.925,5.85
2023-10-18,5.825,5.85,6.0,5.825
2023-10-19,5.725,5.825,5.85,5.7
2023-10-20,5.7,5.675,5.75,5.65
2023-10-23,5.6,5.725,5.75,5.6
2023-10-24,5.8,5.6,5.85,5.6
2023-10-25,5.775,5.825,5.925,5.775
2023-10-26,5.725,5.775,5.8,5.675
2023-10-27,5.725,5.75,5.775,5.725
2023-10-30,5.8,5.75,5.825,5.675
2023-10-31,5.775,5.85,5.9,5.775
2023-11-01,5.8,5.9,6.0,5.8
2023-11-02,5.8,5.85,5.9,5.8
2023-11-03,5.9,5.85,5.925,5.825
2023-11-06,5.925,5.925,5.95,5.9
2023-11-07,5.825,5.925,5.95,5.775
2023-11-08,5.725,5.8,5.825,5.675
2023-11-09,5.75,5.775,5.825,5.725
2023-11-10,5.775,5.725,5.775,5.725
2023-11-13,5.65,5.825,5.825,5.65
2023-11-14,5.675,5.675,5.725,5.65
2023-11-15,5.75,5.75,5.85,5.7
2023-11-16,5.825,5.75,5.825,5.725
2023-11-17,5.7,5.8,5.825,5.7
2023-11-20,5.8,5.725,5.85,5.7
