ds,y
2023-01-13,5450.0
2023-01-16,5600.0
2023-01-17,5550.0
2023-01-18,5650.0
2023-01-19,5850.0
2023-01-20,5900.0
2023-01-24,5925.0
2023-01-25,5950.0
2023-01-26,5900.0
2023-01-27,5875.0
2023-01-30,5875.0
2023-01-31,6000.0
2023-02-01,6000.0
2023-02-02,5925.0
2023-02-03,5875.0
2023-02-06,5850.0
2023-02-07,5875.0
2023-02-08,5800.0
2023-02-09,5675.0
2023-02-10,5700.0
2023-02-13,5725.0
2023-02-14,5725.0
2023-02-15,5675.0
2023-02-16,5700.0
2023-02-17,5675.0
2023-02-20,5600.0
2023-02-21,5575.0
2023-02-22,5625.0
2023-02-23,5650.0
2023-02-24,5750.0
2023-02-27,5800.0
2023-02-28,6100.0
2023-03-01,6150.0
2023-03-02,6150.0
2023-03-03,6050.0
2023-03-06,6075.0
2023-03-07,5950.0
2023-03-08,5925.0
2023-03-09,6025.0
2023-03-10,5975.0
2023-03-13,5925.0
2023-03-14,5775.0
2023-03-15,5775.0
2023-03-16,5850.0
2023-03-17,5850.0
2023-03-20,5875.0
2023-03-21,5875.0
2023-03-24,5950.0
2023-03-27,5875.0
2023-03-28,5850.0
2023-03-29,5950.0
2023-03-30,5900.0
2023-03-31,6000.0
2023-04-03,6000.0
2023-04-04,6025.0
2023-04-05,6000.0
2023-04-06,5925.0
2023-04-10,5975.0
2023-04-11,6075.0
2023-04-12,6250.0
2023-04-13,6250.0
2023-04-14,6200.0
2023-04-17,6225.0
2023-04-18,6425.0
2023-04-26,6700.0
2023-04-27,6700.0
2023-04-28,6750.0
2023-05-02,6675.0
2023-05-03,6625.0
2023-05-04,6600.0
2023-05-05,6150.0
2023-05-08,6125.0
2023-05-09,6325.0
2023-05-10,6325.0
2023-05-11,6250.0
2023-05-12,6225.0
2023-05-15,6350.0
2023-05-16,6275.0
2023-05-17,6325.0
2023-05-19,6475.0
2023-05-22,6600.0
2023-05-23,6600.0
2023-05-24,6675.0
2023-05-25,6600.0
2023-05-26,6600.0
2023-05-29,6600.0
2023-05-30,6500.0
2023-05-31,6450.0
2023-06-05,6825.0
2023-06-06,6800.0
2023-06-07,6800.0
2023-06-08,6775.0
2023-06-09,6800.0
2023-06-12,6775.0
2023-06-13,6750.0
2023-06-14,6900.0
2023-06-15,6875.0
2023-06-16,6850.0
2023-06-19,6875.0
2023-06-20,6800.0
2023-06-21,6925.0
2023-06-22,6775.0
2023-06-23,6775.0
2023-06-26,6800.0
2023-06-27,6775.0
2023-07-03,6825.0
2023-07-04,6775.0
2023-07-05,6775.0
2023-07-06,6800.0
2023-07-07,6825.0
2023-07-10,6775.0
2023-07-11,6800.0
2023-07-12,6775.0
2023-07-13,6800.0
2023-07-14,6750.0
2023-07-17,6675.0
2023-07-18,6575.0
2023-07-20,6525.0
2023-07-21,6450.0
2023-07-24,6550.0
2023-07-25,6500.0
2023-07-26,6600.0
2023-07-27,6525.0
2023-07-28,6625.0
2023-07-31,6850.0
2023-08-01,6875.0
2023-08-02,6850.0
2023-08-03,6825.0
2023-08-04,6800.0
2023-08-07,6875.0
2023-08-08,6850.0
2023-08-09,6875.0
2023-08-10,6750.0
2023-08-11,6750.0
2023-08-14,6800.0
2023-08-15,6725.0
2023-08-16,6750.0
2023-08-18,6525.0
2023-08-21,6475.0
2023-08-22,6550.0
2023-08-23,6550.0
2023-08-24,6475.0
2023-08-25,6450.0
2023-08-28,6425.0
2023-08-29,6400.0
2023-08-30,6450.0
2023-08-31,6450.0
2023-09-01,6550.0
2023-09-04,6600.0
2023-09-05,6600.0
2023-09-06,6525.0
2023-09-07,6400.0
2023-09-08,6400.0
2023-09-11,6375.0
2023-09-12,6300.0
2023-09-13,6300.0
2023-09-14,6325.0
2023-09-15,6300.0
2023-09-18,6300.0
2023-09-19,6350.0
2023-09-20,6300.0
2023-09-21,6200.0
2023-09-22,6200.0
2023-09-25,6250.0
2023-09-26,6200.0
2023-09-27,6150.0
2023-09-29,6225.0
2023-10-02,6275.0
2023-10-03,6200.0
2023-10-04,6075.0
2023-10-05,6025.0
2023-10-06,6075.0
2023-10-09,6125.0
2023-10-10,6050.0
2023-10-11,6050.0
2023-10-12,5950.0
2023-10-13,5975.0
2023-10-16,5850.0
2023-10-17,5850.0
2023-10-18,5825.0
2023-10-19,5725.0
2023-10-20,5700.0
2023-10-23,5600.0
2023-10-24,5800.0
2023-10-25,5775.0
2023-10-26,5725.0
2023-10-27,5725.0
2023-10-30,5800.0
2023-10-31,5775.0
2023-11-01,5800.0
2023-11-02,5800.0
2023-11-03,5900.0
2023-11-06,5925.0
2023-11-07,5825.0
2023-11-08,5725.0
2023-11-09,5750.0
2023-11-10,5775.0
2023-11-13,5650.0
2023-11-14,5675.0
2023-11-15,5750.0
2023-11-16,5825.0
2023-11-17,5700.0
2023-11-20,5800.0
2023-11-21,5775.0
2023-11-22,5675.0
2023-11-23,5700.0
2023-11-24,5725.0
2023-11-27,5625.0
2023-11-28,5550.0
2023-11-29,5525.0
2023-11-30,5400.0
2023-12-01,5750.0
2023-12-04,5750.0
2023-12-05,5725.0
2023-12-06,5725.0
2023-12-07,5675.0
2023-12-08,5675.0
2023-12-11,5600.0
2023-12-12,5575.0
2023-12-13,5525.0
2023-12-14,5625.0
2023-12-15,5650.0
2023-12-18,5600.0
2023-12-19,5625.0
2023-12-20,5625.0
2023-12-21,5550.0
2023-12-22,5550.0
2023-12-27,5550.0
2023-12-28,5600.0
2023-12-29,5650.0
2024-01-02,5700.0
2024-01-03,5600.0
2024-01-04,5700.0
2024-01-05,5625.0
2024-01-08,5575.0
2024-01-09,5575.0
2024-01-10,5525.0
2024-01-11,5550.0
2024-01-12,5600.0
2024-01-15,5525.0
2024-01-16,5500.0
2024-01-17,5400.0
2024-01-18,5375.0
2024-01-19,5350.0
2024-01-22,5225.0
2024-01-23,5125.0
2024-01-24,5075.0
2024-01-25,5050.0
2024-01-26,5075.0
2024-01-29,4930.0
2024-01-30,5100.0
2024-01-31,5125.0
2024-02-01,5125.0
2024-02-02,5325.0
2024-02-05,5175.0
2024-02-06,5250.0
2024-02-07,5325.0
2024-02-12,5300.0
2024-02-13,5200.0
2024-02-15,5125.0
2024-02-16,5200.0
2024-02-19,5125.0
2024-02-20,5200.0
2024-02-21,5250.0
2024-02-22,5275.0
2024-02-23,5125.0
2024-02-26,5125.0
2024-02-27,5175.0
2024-02-28,5225.0
2024-02-29,5225.0
2024-03-01,5225.0
2024-03-04,5200.0
2024-03-05,5100.0
2024-03-06,5175.0
2024-03-07,5125.0
2024-03-08,5150.0
2024-03-13,5150.0
2024-03-14,5275.0
2024-03-15,5175.0
2024-03-18,5150.0
2024-03-19,5225.0
2024-03-20,5275.0
2024-03-21,5350.0
2024-03-22,5375.0
2024-03-25,5350.0
2024-03-26,5300.0
2024-03-27,5275.0
2024-03-28,5150.0
2024-04-01,5200.0
2024-04-02,5275.0
2024-04-03,5250.0
2024-04-04,5175.0
2024-04-05,5275.0
2024-04-16,5100.0
2024-04-17,5125.0
2024-04-18,5100.0
2024-04-19,4900.0
2024-04-22,4950.0
2024-04-23,5025.0
2024-04-24,4910.0
2024-04-25,4950.0
2024-04-26,4880.0
2024-04-29,5025.0
2024-04-30,5150.0
2024-05-02,5175.0
2024-05-03,5225.0
2024-05-06,5100.0
2024-05-07,5050.0
2024-05-08,5125.0
2024-05-13,5075.0
2024-05-14,4580.0
2024-05-15,4530.0
2024-05-16,4710.0
2024-05-17,4800.0
2024-05-20,4740.0
2024-05-21,4700.0
2024-05-22,4710.0
2024-05-27,4550.0
2024-05-28,4510.0
2024-05-29,4460.0
2024-05-30,4320.0
2024-05-31,4290.0
2024-06-03,4500.0
2024-06-04,4580.0
2024-06-05,4600.0
