ds,y,kolom
2024-11-12,4.994226773411878,Terakhir
2024-11-13,4.992467117966428,Terakhir
2024-11-14,5.036605785739321,Terakhir
2024-11-15,4.9852851331364425,Terakhir
2024-11-18,4.956666310758414,Terakhir
2024-11-18,4.956666310758414,Terakhir
2024-11-18,4.956666310758414,Terakhir
2024-11-19,4.951485833881655,Terakhir
2024-11-20,4.965520868246434,Terakhir
2024-11-21,4.988139527196294,Terakhir
2024-11-22,4.932083423995597,Terakhir
2024-11-25,4.92641331022413,Terakhir
2024-11-25,4.92641331022413,Terakhir
2024-11-25,4.926464052542548,Terakhir
2024-11-26,5.0479569647774145,Terakhir
2024-11-27,5.070888759642009,Terakhir
2024-11-28,5.1029392640378415,Terakhir
